Comments,Word,Wordlength,Lexicality,Length,Morphology,Condition,Phonemes,n_phonemes,n_syllables,Difference Phonemes Letters,Levenshtein Distance,normalized_levenshtein_dist,Affix_Freq,Comments
yes,slagé,5,pseudo,short,complex,PSC,slaʒə,5,2,0,2,0.4,,
bof,résem,5,pseudo,short,complex,PSC,ʁəsɛl,5,2,0,2,0.4,,
not natural,désac,5,pseudo,short,complex,PSC,dəsak,5,2,0,2,0.4,,
not natural,enjot,5,pseudo,short,complex,PSC,ɑ̃ʒo,4,2,1,1,0.2,,
yes,étoda,5,pseudo,short,complex,PSC,ətoda,5,3,0,3,0.6,,
yes,désla,5,pseudo,short,complex,PSC,dəsla,5,2,0,2,0.4,,
yes,blité,5,pseudo,short,complex,PSC,blite,5,2,0,1,0.2,,
bof,surpu,5,pseudo,short,complex,PSC,syʁpy,5,2,0,2,0.4,,
"from ""huer""?",hueur,5,pseudo,short,complex,PSC,yœʁ,3,1,2,1,0.2,,
,duage,5,pseudo,short,complex,PSC,dyaʒ,4,2,1,1,0.2,,
yes,exhara,6,pseudo,short,complex,PSC,ɛɡzaʁa,6,3,0,2,0.3333333333,,
yes,cliard,6,pseudo,short,complex,PSC,kliaʁ,5,1,1,2,0.3333333333,,
" yes, maybe a word",apleté,6,pseudo,short,complex,PSC,apləte,6,2,0,2,0.3333333333,,
yesyes,déravé,6,pseudo,short,complex,PSC,deʁave,6,3,0,1,0.1666666667,,
,lodeur,6,pseudo,short,complex,PSC,lodœʁ,5,2,1,1,0.1666666667,,
yesyes,récumi,6,pseudo,short,complex,PSC,ʁekymi,6,3,0,2,0.3333333333,,
yesyes,vélolé,6,pseudo,short,complex,PSC,velole,6,3,0,2,0.3333333333,,
yesyes,clueur,6,pseudo,short,complex,PSC,klyœʁ,6,2,0,1,0.1666666667,,
,détria,6,pseudo,short,complex,PSC,detʁia,6,2,0,2,0.3333333333,,
yesyes,dénoya,6,pseudo,short,complex,PSC,denwaja,7,2,-1,2,0.3333333333,,
bof,instagne,8,pseudo,long,complex,PLC,ɛ̃staɲ,6,2,2,2,0.25,,
yes,nonlexie,8,pseudo,long,complex,PLC,nɔ̃lɛksi,8,2,0,3,0.375,low frequency,
yesyes,révoutir,8,pseudo,long,complex,PLC,ʁevutiʁ,7,3,1,2,0.25,,
yesyes,surgalir,8,pseudo,long,complex,PLC,syʁɡaliʁ,8,3,0,2,0.25,,
yesyes,glonable,8,pseudo,long,complex,PLC,ɡlonabl,7,2,1,2,0.25,,
,déforion,8,pseudo,long,complex,PLC,dəfoʁjɔ̃,7,3,1,3,0.375,,
yes,bransier,8,pseudo,long,complex,PLC,bʁɑ̃sje,7,2,1,1,0.125,,
,prénoule,8,pseudo,long,complex,PLC,prənul,6,2,2,3,0.375,,
"yesyes (related to ""déconner""?)",déconnal,8,pseudo,long,complex,PLC,dəkɔnal,7,3,1,4,0.5,,
yesyes,alincère,8,pseudo,long,complex,PLC,alɛ̃səʁ,7,2,1,3,0.375,,
yes,récortune,9,pseudo,long,complex,PLC,ʁekɔʁtyn,8,3,1,3,0.3333333333,,
yesyes,maloriste,9,pseudo,long,complex,PLC,maloʁist,8,3,1,2,0.2222222222,,
yes,crémosant,9,pseudo,long,complex,PLC,kʁemozɑ̃,8,3,1,3,0.3333333333,,
yes,incompoir,9,pseudo,long,complex,PLC,ɛ̃kɔ̃pwaʁ,9,3,0,2,0.2222222222,,
yes,rentonice,9,pseudo,long,complex,PLC,ʁɑ̃tonis,8,3,1,2,0.2222222222,,
yes,carichier,9,pseudo,long,complex,PLC,kaʁiʃje,7,3,2,3,0.3333333333,,
yes,plantissé,9,pseudo,long,complex,PLC,plɑ̃tisə,8,3,1,4,0.4444444444,,
yes,érogieuse,9,pseudo,long,complex,PLC,eʁoʒjøz,7,2,2,3,0.3333333333,,
yes,cabariste,9,pseudo,long,complex,PLC,kabaʁist,8,3,1,3,0.3333333333,,
yes,cirlement,9,pseudo,long,complex,PLC,siʁləmɑ̃,8,3,1,2,0.2222222222,,
,vithe,5,pseudo,short,simple,PSS,vaɪð,4,1,1,1,0.2,N/A,
im at the end: not natural?,marim,5,pseudo,short,simple,PSS,maʁim,5,2,0,1,0.2,N/A,
en at the end: not natural?,jaren,5,pseudo,short,simple,PSS,ʒaʁɛn,5,2,0,1,0.2,N/A,
yes,diole,5,pseudo,short,simple,PSS,djɔl,4,1,1,1,0.2,N/A,
yes,feque,5,pseudo,short,simple,PSS,fək,3,1,2,2,0.4,N/A,
yes,clide,5,pseudo,short,simple,PSS,klid,4,1,1,1,0.2,N/A,
is feminine agreement complex?,trude,5,pseudo,short,simple,PSS,tʁyd,4,1,1,1,0.2,N/A,
