Word,Wordlength,Lexicality,Length,Morphology,Condition,number of phonemes,comments,suggestions,Unnamed: 9,Unnamed: 10,Ali's Input,Old Words (In case switching),Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Syllables,Num Syllables,Num Phonemes,Phonemes
lank,4,pseudo,short,simple,PSS,add also num syllables,saint,,,,,,,,,,,lank,1,,
vage,4,pseudo,short,simple,PSS,,naitre,,,,,,,,,,,vage,1,,
pone,4,pseudo,short,simple,PSS,,,,,,,,,,,,,pone,1,,
sobe,4,pseudo,short,simple,PSS,,,sobe,,,,,,,,,,sobe,1,,
gieu,4,pseudo,short,simple,PSS,,,gieu,,,,,,,,,,gieu,1,,
prici,5,pseudo,short,simple,PSS,,,,,,,,,,,,,pri-ci,2,,
honou,5,pseudo,short,simple,PSS,,,,,,,,,,,,,ho-nou,2,,
noilo,5,pseudo,short,simple,PSS,,,noilo,,,,,,,,,,noi-lo,2,,
hiave,5,pseudo,short,simple,PSS,,,,,,,,,,,,,hiave,1,,
hiano,5,pseudo,short,simple,PSS,,,,,,,,,,,,,hia-no,2,,
norfel,6,pseudo,short,simple,PSC,,pseudo complex,,,,,balant,6,pseudo,short,simple,PSS,nor-fel,2,,
bartel,6,pseudo,short,simple,PSC,,pseudo complex,,,,,cranas,6,pseudo,short,simple,PSS,bar-tel,2,,
orayon,6,pseudo,short,simple,PSS,,pseudo complex,,,,,oranas,6,pseudo,short,simple,PSS,orayon,1,,
paisin,6,pseudo,short,simple,PSS,,,,,,,,,,,,,pai-sin,2,,
ralise,6,pseudo,short,simple,PSS,,,,,,,,,,,,,ra-lise,2,,
inir,4,pseudo,short,complex,PSC,,s is not heard,inir,,,sounds simple (verb),,inun,,,,,in-ir,2,,
détu,4,pseudo,short,complex,PSC,,why comlex?,amal,,,Is amal complex?,,,,,,,dé-tu,2,,
imer,4,pseudo,short,complex,PSC,,why comlex?,imér,,,does ér make sense? is imer complex ?,,,,,,,imer,1,,
déir,4,pseudo,short,complex,PSC,,s is not heard,déir,,,"presque déifier, feels simple",,,,,,,déir,1,,
sasé,4,pseudo,short,complex,PSC,,why comlex?,irer,"""irai"" ",,,,,,,,,sa-sé,2,,
malir,5,pseudo,short,complex,PSC,,,malir,,,feels simple,,,,,,,ma-lir,2,,
bueux,5,pseudo,short,complex,PSC,,,,,,,,,,,,,bueux,1,,
pasal,5,pseudo,short,complex,PSC,,,regir,"too close to ""régir""",,,,,,,,,pa-sal,2,,
implu,5,pseudo,short,complex,PSC,,s is not heard,imglu,"""il me glue"" ",inplu,,,,,,,,im-plu,2,,
imbui,5,pseudo,short,complex,PSC,,,,,,,,,,,,,im-bui,2,,
poueur,6,pseudo,short,complex,PSC,,,,,,,,,,,,,poueur,1,,
jourvu,6,pseudo,short,complex,PSC,,pas complex,noleur,,,,norfel,6,pseudo,short,complex,PSC,jour-vu,2,,
envoré,6,pseudo,short,complex,PSC,,pas complex,baleux,,,,bartel,6,pseudo,short,complex,PSC,en-vo-ré,3,,
éniste,6,pseudo,short,complex,PSC,,s not heard,éniste,,,,,,,,,,éniste,1,,
anisme,6,pseudo,short,complex,PSC,,s not heard,anisme,,,,,,,,,,anisme,1,,
boutron,7,pseudo,long,simple,PLS,,,,,,,,,,,,,bou-tron,2,,
damallo,7,pseudo,long,simple,PLS,,complex,bourame,motb ( bourrer),,,,,,,,,da-mal-lo,3,,
langord,7,pseudo,long,simple,PLS,,complex,gourate,verbe gourrer,,,,,,,,,lan-gord,2,,
pafitre,7,pseudo,long,simple,PLS,,,foucron,"feels like a verb ""fouc+ons"" (complex)",,,,,,,,,pa-fitre,2,,
bouvoie,7,pseudo,long,simple,PLS,,,pachril,"should be speeld 'pacheril""",,used (pacheril),,,,,,,bou-voie,2,,
chalgame,8,pseudo,long,simple,PLS,,,,,,,,,,,,,chal-game,2,,
pacheril,8,pseudo,long,simple,PLS,,,verceu,"""vers ceux""",,,,,,,,,pa-che-ril,3,,
héricole,8,pseudo,long,simple,PLS,,not simple!,,,,,,,,,,,hé-ri-cole,3,,
carruque,8,pseudo,long,simple,PLS,,,pafitre,,,used,,,,,,,car-ruque,2,,
rancolat,8,pseudo,long,simple,PLS,,,,,,,,,,,,,ran-co-lat,3,,
sitralmet,9,pseudo,long,simple,PLS,,,,,,,,,,,,,si-tral-met,3,,
aubedulle,9,pseudo,long,simple,PLS,,,aubedulle,,,,,,,,,,au-be-dulle,3,,
ritourque,9,pseudo,long,simple,PLS,,,langord,,,used,,,,,,,ri-tourque,2,,
dingouron,9,pseudo,long,simple,PLS,,,,,,,,,,,,,din-gou-ron,3,,
tibeline,9,pseudo,long,simple,PLS,,,tibeline,,,potenitally complex,,,,,,,ti-be-line,3,,
indonce,7,pseudo,long,complex,PLC,,,indonce,,,,,,,,,,in-donce,2,,
défonnu,7,pseudo,long,complex,PLC,,,damallo,WHY COMPLEX?,,used (as simple),,,,,,,dé-fon-nu,3,,
justial,7,pseudo,long,complex,PLC,,,,,,,,,,,,,jus-tial,2,,
mélotir,7,pseudo,long,complex,PLC,,s at the end,décalir,décaler,,décaler is a word,,,,,,,mé-lo-tir,3,,
