Word,Wordlength,Lexicality,Length,Morphology,Condition,num_phonemes,num_syllables,levenshtein_dist,normalized_levenshtein_dist
anif,4,pseudo,short,complex,PSC,4.0,1,1,0.25
déal,4,pseudo,short,complex,PSC,3.0,1,1,0.25
déir,4,pseudo,short,complex,PSC,3.0,2,1,0.25
mori,4,pseudo,short,complex,PSC,3.0,2,0,0.0
réir,4,pseudo,short,complex,PSC,4.0,2,1,0.25
bueux,5,pseudo,short,complex,PSC,4.0,1,1,0.2
galif,5,pseudo,short,complex,PSC,5.0,2,2,0.4
imbui,5,pseudo,short,complex,PSC,4.0,2,1,0.2
implu,5,pseudo,short,complex,PSC,5.0,2,2,0.4
malir,5,pseudo,short,complex,PSC,5.0,2,1,0.2
anisme,6,pseudo,short,complex,PSC,6.0,1,1,0.16666666666666666
éniste,6,pseudo,short,complex,PSC,6.0,1,2,0.3333333333333333
envoré,6,pseudo,short,complex,PSC,5.0,3,1,0.16666666666666666
jourvu,6,pseudo,short,complex,PSC,5.0,2,1,0.16666666666666666
poueur,6,pseudo,short,complex,PSC,3.0,1,1,0.16666666666666666
défonnu,7,pseudo,long,complex,PLC,7.0,3,2,0.2857142857142857
indonce,7,pseudo,long,complex,PLC,7.0,2,2,0.2857142857142857
justial,7,pseudo,long,complex,PLC,8.0,2,2,0.2857142857142857
mélotir,7,pseudo,long,complex,PLC,7.0,3,2,0.2857142857142857
podrome,7,pseudo,long,complex,PLC,7.0,2,2,0.2857142857142857
glonable,8,pseudo,long,complex,PLC,8.0,2,2,0.25
instagne,8,pseudo,long,complex,PLC,8.0,2,2,0.25
nonlexie,8,pseudo,long,complex,PLC,7.0,2,3,0.375
révoutir,8,pseudo,long,complex,PLC,8.0,3,2,0.25
surgalir,8,pseudo,long,complex,PLC,8.0,3,2,0.25
branvalin,9,pseudo,long,complex,PLC,9.0,3,3,0.3333333333333333
crémosant,9,pseudo,long,complex,PLC,9.0,3,3,0.3333333333333333
incompoir,9,pseudo,long,complex,PLC,10.0,3,2,0.2222222222222222
maloriste,9,pseudo,long,complex,PLC,9.0,3,2,0.2222222222222222
récortune,9,pseudo,long,complex,PLC,9.0,3,3,0.3333333333333333
cudathèque,10,pseudo,long,complex,PLC,10.0,3,3,0.3
déclentilé,10,pseudo,long,complex,PLC,10.0,4,3,0.3
féminiseux,10,pseudo,long,complex,PLC,10.0,4,3,0.3
frutroudit,10,pseudo,long,complex,PLC,10.0,3,4,0.4
imigiserai,10,pseudo,long,complex,PLC,10.0,4,3,0.3
gieu,4,pseudo,short,simple,PSS,2.0,1,1,0.25
lank,4,pseudo,short,simple,PSS,4.0,1,1,0.25
pone,4,pseudo,short,simple,PSS,3.0,1,1,0.25
sobe,4,pseudo,short,simple,PSS,3.0,1,1,0.25
vage,4,pseudo,short,simple,PSS,3.0,1,1,0.25
gamal,5,pseudo,short,simple,PSS,4.0,2,1,0.2
hiave,5,pseudo,short,simple,PSS,3.0,1,1,0.2
honou,5,pseudo,short,simple,PSS,4.0,2,1,0.2
noilo,5,pseudo,short,simple,PSS,4.0,2,2,0.4
prici,5,pseudo,short,simple,PSS,4.0,2,1,0.2
bagari,6,pseudo,short,simple,PSS,6.0,1,2,0.3333333333333333
bartel,6,pseudo,short,simple,PSS,6.0,2,1,0.16666666666666666
norfel,6,pseudo,short,simple,PSS,6.0,2,2,0.3333333333333333
paisin,6,pseudo,short,simple,PSS,5.0,2,1,0.16666666666666666
ralise,6,pseudo,short,simple,PSS,6.0,2,1,0.16666666666666666
boutron,7,pseudo,long,simple,PLS,6.0,2,1,0.14285714285714285
bouvoie,7,pseudo,long,simple,PLS,6.0,2,2,0.2857142857142857
damallo,7,pseudo,long,simple,PLS,7.0,3,2,0.2857142857142857
langord,7,pseudo,long,simple,PLS,7.0,2,2,0.2857142857142857
pafitre,7,pseudo,long,simple,PLS,7.0,2,2,0.2857142857142857
carruque,8,pseudo,long,simple,PLS,8.0,2,2,0.25
chalgame,8,pseudo,long,simple,PLS,7.0,2,2,0.25
héricole,8,pseudo,long,simple,PLS,8.0,3,2,0.25
pacheril,8,pseudo,long,simple,PLS,8.0,3,3,0.375
rancolat,8,pseudo,long,simple,PLS,8.0,3,3,0.375
aubedulle,9,pseudo,long,simple,PLS,9.0,3,3,0.3333333333333333
dingouron,9,pseudo,long,simple,PLS,8.0,3,3,0.3333333333333333
ritourque,9,pseudo,long,simple,PLS,8.0,2,2,0.2222222222222222
sitralmet,9,pseudo,long,simple,PLS,9.0,3,4,0.4444444444444444
tibeline,9,pseudo,long,simple,PLS,8.0,3,1,0.1111111111111111
coloccaphe,10,pseudo,long,simple,PLS,,3,4,0.4
évandestif,10,pseudo,long,simple,PLS,10.0,3,3,0.3
phalonnule,10,pseudo,long,simple,PLS,10.0,3,4,0.4
télandolie,10,pseudo,long,simple,PLS,11.0,4,2,0.2
troduiller,10,pseudo,long,simple,PLS,,2,2,0.2
