Pseudoword,Word,Lemma,prs,n_morphemes,Length,Levenshtein Distance,Normalized Levenshtein Distance
lidé,ridé,ride,"(0, 1, 1)",2,4,1,0.25
lêva,rêva,rêve,"(0, 1, 1)",2,4,1,0.25
pâri,pâli,pâle,"(0, 1, 1)",2,4,1,0.25
hâré,hâlé,hâle,"(0, 1, 1)",2,4,2,0.5
robé,lobé,lob,"(0, 1, 1)",2,4,1,0.25
mulé,muré,mur,"(0, 1, 1)",2,4,1,0.25
zébla,zébra,zébr,"(0, 1, 1)",2,5,2,0.4
tlaça,traça,trace,"(0, 1, 1)",2,5,2,0.4
aboua,aboya,aboi,"(0, 1, 1)",2,5,2,0.4
gnisa,misa,mise,"(0, 1, 1)",2,5,1,0.25
gênga,gêna,gêne,"(0, 1, 1)",2,5,1,0.25
éliné,élimé,lime,"(1, 1, 1)",3,5,2,0.4
letapé,retapé,tape,"(1, 1, 1)",3,6,2,0.3333333333333333
intwbe,intube,tube,"(1, 1, 1)",3,6,2,0.3333333333333333
enloua,enroua,rou,"(1, 1, 1)",3,6,2,0.3333333333333333
englyé,englué,glu,"(1, 1, 1)",3,6,2,0.3333333333333333
emcodé,encodé,code,"(1, 1, 1)",3,6,2,0.3333333333333333
empira,empila,pil,"(1, 1, 1)",3,6,2,0.3333333333333333
emmwra,emmura,mur,"(1, 1, 1)",3,6,2,0.3333333333333333
embyer,embuer,buer,"(1, 1, 1)",3,6,2,0.3333333333333333
cliard,criard,cri,"(0, 1, 1)",2,6,2,0.3333333333333333
côteré,côtelé,côte,"(0, 1, 1)",2,6,2,0.3333333333333333
fêlule,fêlure,fêler,"(0, 1, 1)",2,6,2,0.3333333333333333
fliqué,friqué,frique,"(0, 1, 1)",2,6,2,0.3333333333333333
charmu,charnu,chair,"(0, 1, 1)",2,6,2,0.3333333333333333
gerait,gelait,gel,"(0, 1, 1)",2,6,2,0.3333333333333333
garbée,galbée,galb,"(0, 1, 1)",2,6,2,0.3333333333333333
fwselé,fuselé,fuseau,"(0, 1, 1)",2,6,2,0.3333333333333333
harage,halage,haler,"(0, 1, 1)",2,6,2,0.3333333333333333
jeynot,jeunot,jeune,"(0, 1, 1)",2,6,2,0.3333333333333333
brêmit,blêmit,blême,"(0, 1, 1)",2,6,2,0.3333333333333333
âpleté,âpreté,âpre,"(0, 1, 1)",2,6,2,0.3333333333333333
pâreur,pâleur,pâle,"(0, 1, 1)",2,6,2,0.3333333333333333
pelule,pelure,peler,"(0, 1, 1)",2,6,2,0.3333333333333333
lâlait,râlait,râle,"(0, 1, 1)",2,6,2,0.3333333333333333
qyêtai,quêtai,quête,"(0, 1, 1)",2,6,2,0.3333333333333333
pubiem,pubien,pubis,"(0, 1, 1)",2,6,2,0.3333333333333333
zonald,zonard,zone,"(0, 1, 1)",2,6,2,0.3333333333333333
tiqwai,tiquai,tic,"(0, 1, 1)",2,6,2,0.3333333333333333
suaile,suaire,suer,"(0, 1, 1)",2,6,2,0.3333333333333333
vélolé,vérolé,vérole,"(0, 1, 1)",2,6,2,0.3333333333333333
vaseyx,vaseux,vase,"(0, 1, 1)",2,6,2,0.3333333333333333
levécu,revécu,vivre,"(1, 1, 0)",2,6,2,0.3333333333333333
lôdeur,rôdeur,rôder,"(0, 1, 1)",2,6,2,0.3333333333333333
dénoya,dénoua,nouer,"(1, 1, 0)",2,6,2,0.3333333333333333
dénets,démets,mettre,"(1, 1, 0)",2,6,2,0.3333333333333333
déravé,délavé,laver,"(1, 1, 0)",2,6,2,0.3333333333333333
exhara,exhala,haler,"(1, 1, 0)",2,6,3,0.5
effira,effila,fil,"(1, 1, 1)",3,6,2,0.3333333333333333
dépria,déplia,pli,"(1, 1, 1)",3,6,2,0.3333333333333333
avirir,avilir,vil,"(1, 1, 1)",3,6,2,0.3333333333333333
anoché,amoché,moche,"(1, 1, 1)",3,6,2,0.3333333333333333
